Account Length,Area Code,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Eve Mins,Eve Calls,Night Mins,Night Calls,Int'l Mins,Int'l Calls,CustServ Calls,Churn,Day_Avg_Call_Duration,Eve_Avg_Call_Duration,Night_Avg_Call_Duration,Intl_Avg_Call_Duration,High_CustServ_Calls
147.0,415,0,0,0.0,155.1,117.0,239.7,93.0,208.8,133.0,10.6,4.0,0,0,1.3256410256410256,2.5774193548387094,1.5699248120300753,2.65,0
77.0,408,0,0,0.0,62.4,89.0,169.9,121.0,209.6,64.0,5.7,6.0,4,1,0.701123595505618,1.4041322314049587,3.275,0.9500000000000001,1
130.0,415,0,0,0.0,183.0,112.0,72.9,99.0,181.8,78.0,9.5,10.5,0,0,1.6339285714285714,0.7363636363636364,2.330769230769231,0.9047619047619048,0
111.0,415,0,0,0.0,110.4,103.0,137.3,102.0,189.6,105.0,7.7,6.0,2,0,1.071844660194175,1.3460784313725491,1.8057142857142856,1.2833333333333334,0
132.0,510,0,0,0.0,81.1,86.0,245.2,72.0,237.0,115.0,10.3,2.0,0,0,0.9430232558139534,3.4055555555555554,2.0608695652173914,5.15,0
174.0,415,0,0,0.0,124.3,76.0,277.1,112.0,250.7,115.0,15.5,5.0,3,0,1.6355263157894737,2.474107142857143,2.1799999999999997,3.1,1
57.0,408,0,1,39.0,213.0,115.0,191.1,112.0,182.7,115.0,9.5,3.0,0,0,1.8521739130434782,1.70625,1.5886956521739128,3.1666666666666665,0
54.0,408,0,0,0.0,134.3,73.0,155.5,100.0,102.1,68.0,14.7,4.0,3,0,1.8397260273972604,1.555,1.5014705882352941,3.675,1
20.0,415,0,0,0.0,190.0,109.0,258.2,84.0,181.5,102.0,6.3,6.0,0,0,1.7431192660550459,3.0738095238095235,1.7794117647058822,1.05,0
49.0,510,0,0,0.0,119.3,117.0,215.1,109.0,178.7,90.0,11.1,1.0,1,0,1.0196581196581196,1.973394495412844,1.9855555555555555,11.1,0
142.0,415,0,0,0.0,84.8,95.0,136.7,63.0,250.5,148.0,14.2,6.0,2,0,0.8926315789473684,2.1698412698412697,1.6925675675675675,2.3666666666666667,0
75.0,510,0,0,0.0,226.1,105.0,201.5,107.0,246.2,98.0,10.3,5.0,1,0,2.1533333333333333,1.8831775700934579,2.5122448979591834,2.06,0
172.0,408,0,0,0.0,212.0,121.0,63.54999999999997,115.0,293.3,78.0,12.6,10.0,3,0,1.7520661157024793,0.5526086956521736,3.76025641025641,1.26,1
12.0,408,0,0,0.0,249.6,118.0,252.4,119.0,280.2,90.0,11.8,3.0,1,1,2.1152542372881356,2.1210084033613446,3.1133333333333333,3.9333333333333336,0
57.0,408,0,1,25.0,176.8,94.0,195.0,75.0,213.5,116.0,8.3,4.0,0,0,1.8808510638297873,2.6,1.8405172413793103,2.075,0
72.0,415,0,1,37.0,220.0,80.0,217.3,102.0,152.8,71.0,14.7,6.0,3,0,2.75,2.130392156862745,2.1521126760563383,2.4499999999999997,1
36.0,408,0,1,30.0,146.3,128.0,162.5,80.0,129.3,109.0,14.5,6.0,0,0,1.14296875,2.03125,1.186238532110092,2.4166666666666665,0
78.0,415,0,0,0.0,130.8,64.0,223.7,116.0,227.8,108.0,10.0,5.0,1,0,2.04375,1.928448275862069,2.109259259259259,2.0,0
136.0,415,1,1,33.0,203.9,106.0,187.6,99.0,101.7,107.0,10.5,6.0,3,0,1.9235849056603773,1.894949494949495,0.9504672897196262,1.75,1
149.0,408,0,0,0.0,140.4,94.0,271.8,92.0,188.3,108.0,11.1,9.0,1,0,1.4936170212765958,2.9543478260869565,1.7435185185185187,1.2333333333333334,0
98.0,408,0,0,0.0,126.3,102.0,166.8,85.0,187.8,135.0,9.4,2.0,3,0,1.238235294117647,1.9623529411764706,1.3911111111111112,4.7,1
135.0,408,1,1,41.0,173.1,85.0,203.9,107.0,122.2,78.0,14.6,10.5,0,1,2.0364705882352943,1.905607476635514,1.5666666666666667,1.3904761904761904,0
34.0,510,0,0,0.0,124.8,82.0,282.2,98.0,311.5,78.0,10.0,4.0,2,0,1.5219512195121951,2.8795918367346935,3.9935897435897436,2.5,0
160.0,415,0,0,0.0,85.8,77.0,165.3,110.0,178.5,92.0,9.2,4.0,3,0,1.1142857142857143,1.502727272727273,1.940217391304348,2.3,1
64.0,510,0,0,0.0,154.0,67.0,225.8,118.0,265.3,86.0,3.5,3.0,1,0,2.298507462686567,1.9135593220338984,3.084883720930233,1.1666666666666667,0
59.0,408,0,1,28.0,120.9,97.0,213.0,92.0,163.1,116.0,8.5,5.0,2,0,1.2463917525773196,2.3152173913043477,1.4060344827586206,1.7,0
65.0,415,0,0,0.0,211.3,120.0,162.6,122.0,134.7,118.0,13.2,5.0,3,0,1.7608333333333335,1.3327868852459015,1.1415254237288135,2.6399999999999997,1
142.0,408,0,0,0.0,187.0,133.0,134.6,74.0,242.2,127.0,7.4,5.0,2,0,1.406015037593985,1.8189189189189188,1.9070866141732283,1.48,0
119.0,415,0,0,0.0,159.1,114.0,231.3,117.0,143.2,91.0,8.8,3.0,4,1,1.3956140350877193,1.976923076923077,1.5736263736263736,2.9333333333333336,1
97.0,415,0,1,24.0,133.2,135.0,217.2,58.0,70.6,79.0,11.0,3.0,1,0,0.9866666666666666,3.7448275862068963,0.8936708860759492,3.6666666666666665,0
52.0,408,0,0,0.0,191.9,108.0,269.8,96.0,236.8,87.0,7.8,5.0,3,0,1.776851851851852,2.810416666666667,2.72183908045977,1.56,1
60.0,408,0,0,0.0,220.6,57.0,211.1,115.0,249.0,129.0,6.8,3.0,1,0,3.8701754385964913,1.8356521739130434,1.930232558139535,2.2666666666666666,0
10.0,408,0,0,0.0,186.1,112.0,190.2,66.0,282.8,57.0,11.4,6.0,2,0,1.6616071428571428,2.881818181818182,4.96140350877193,1.9000000000000001,0
96.0,415,0,0,0.0,160.2,117.0,267.5,67.0,228.5,68.0,9.3,5.0,2,0,1.369230769230769,3.9925373134328357,3.360294117647059,1.86,0
87.0,415,0,0,0.0,151.0,83.0,219.7,116.0,203.9,127.0,9.7,3.0,4,1,1.819277108433735,1.8939655172413792,1.6055118110236222,3.233333333333333,1
81.0,408,0,0,0.0,175.5,67.0,249.3,85.0,270.2,98.0,10.2,3.0,1,0,2.6194029850746268,2.9329411764705884,2.757142857142857,3.4,0
141.0,415,0,0,0.0,126.9,98.0,180.0,62.0,140.8,128.0,8.0,2.0,1,0,1.2948979591836736,2.903225806451613,1.1,4.0,0
121.0,408,0,1,30.0,198.4,129.0,75.3,77.0,181.2,77.0,5.8,3.0,3,1,1.537984496124031,0.9779220779220779,2.353246753246753,1.9333333333333333,1
68.0,415,0,0,0.0,148.8,70.0,246.5,154.5,129.8,103.0,12.1,3.0,3,0,2.125714285714286,1.5954692556634305,1.2601941747572816,4.033333333333333,1
125.0,408,0,0,0.0,229.3,103.0,177.4,126.0,189.3,95.0,12.0,8.0,1,0,2.2262135922330097,1.407936507936508,1.9926315789473685,1.5,0
174.0,408,0,0,0.0,192.1,97.0,169.9,94.0,166.6,54.0,11.4,4.0,1,0,1.9804123711340205,1.8074468085106383,3.085185185185185,2.85,0
116.0,415,0,1,34.0,268.6,83.0,178.2,142.0,166.3,106.0,11.6,3.0,2,0,3.236144578313253,1.2549295774647886,1.568867924528302,3.8666666666666667,0
74.0,510,0,1,33.0,193.7,91.0,246.1,96.0,138.0,92.0,14.6,3.0,2,0,2.1285714285714286,2.5635416666666666,1.5,4.866666666666666,0
149.0,408,0,1,28.0,180.7,92.0,187.8,64.0,265.5,53.0,12.6,3.0,3,0,1.9641304347826085,2.934375,5.009433962264151,4.2,1
38.0,408,0,0,0.0,131.2,98.0,162.9,97.0,159.0,106.0,8.2,6.0,2,0,1.3387755102040815,1.679381443298969,1.5,1.3666666666666665,0
40.0,415,0,1,41.0,148.1,74.0,169.5,88.0,214.1,102.0,6.2,5.0,2,0,2.0013513513513512,1.9261363636363635,2.0990196078431373,1.24,0
43.0,415,1,0,0.0,251.5,105.0,212.8,104.0,157.8,67.0,9.3,4.0,0,0,2.395238095238095,2.0461538461538464,2.355223880597015,2.325,0
113.0,408,1,0,0.0,125.2,93.0,206.4,119.0,129.3,139.0,8.3,8.0,0,0,1.346236559139785,1.734453781512605,0.9302158273381296,1.0375,0
126.0,408,0,0,0.0,211.6,70.0,216.9,80.0,153.5,60.0,7.8,1.0,1,0,3.0228571428571427,2.71125,2.558333333333333,7.8,0
150.0,510,0,0,0.0,178.9,101.0,169.1,110.0,148.6,100.0,13.8,3.0,4,1,1.7712871287128713,1.5372727272727271,1.486,4.6000000000000005,1
138.0,408,0,0,0.0,241.8,93.0,170.5,83.0,295.3,104.0,11.8,7.0,3,0,2.6,2.0542168674698793,2.839423076923077,1.6857142857142857,1
162.0,510,0,1,46.0,224.9,97.0,188.2,84.0,254.6,61.0,12.1,2.0,0,0,2.318556701030928,2.2404761904761905,4.173770491803278,6.05,0
147.0,510,0,0,0.0,248.6,83.0,148.9,85.0,172.5,109.0,8.0,4.0,3,0,2.995180722891566,1.7517647058823531,1.5825688073394495,2.0,1
90.0,415,0,0,0.0,203.4,146.0,226.7,117.0,152.4,105.0,7.3,4.0,1,0,1.393150684931507,1.9376068376068376,1.4514285714285715,1.825,0
85.0,415,0,0,0.0,235.8,109.0,157.2,94.0,188.2,99.0,12.0,3.0,0,0,2.163302752293578,1.6723404255319148,1.9010101010101008,4.0,0
50.0,415,0,0,0.0,157.1,90.0,223.3,72.0,181.4,111.0,6.1,2.0,1,0,1.7455555555555555,3.101388888888889,1.6342342342342342,3.05,0
82.0,415,0,0,0.0,300.3,109.0,181.0,100.0,270.1,73.0,11.7,4.0,0,1,2.7550458715596333,1.81,3.7,2.925,0
144.0,408,0,0,0.0,61.6,117.0,77.1,85.0,173.0,99.0,8.2,7.0,4,1,0.5264957264957265,0.9070588235294117,1.7474747474747474,1.1714285714285713,1
46.0,415,0,0,0.0,214.1,72.0,164.4,104.0,177.5,113.0,8.2,3.0,2,0,2.973611111111111,1.580769230769231,1.5707964601769913,2.733333333333333,0
70.0,408,0,0,0.0,170.2,98.0,155.2,102.0,228.6,76.0,15.0,2.0,1,0,1.736734693877551,1.5215686274509803,3.0078947368421054,7.5,0
144.0,415,0,0,0.0,201.1,99.0,303.5,74.0,224.0,119.0,13.2,2.0,1,0,2.0313131313131314,4.101351351351352,1.8823529411764706,6.6,0
116.0,415,1,0,0.0,215.4,104.0,204.8,79.0,278.5,109.0,12.6,5.0,3,0,2.0711538461538463,2.5924050632911393,2.555045871559633,2.52,1
55.0,408,0,1,25.0,165.6,123.0,136.1,95.0,175.7,90.0,11.0,2.0,3,0,1.346341463414634,1.4326315789473683,1.952222222222222,5.5,1
70.0,415,0,1,24.0,249.5,101.0,259.7,98.0,222.7,68.0,9.8,4.0,1,0,2.4702970297029703,2.65,3.275,2.45,0
106.0,510,0,0,0.0,210.6,96.0,249.2,85.0,191.4,88.0,12.4,1.0,2,1,2.19375,2.931764705882353,2.1750000000000003,12.4,0
128.0,510,0,1,29.0,179.3,104.0,225.9,86.0,323.0,78.0,8.6,7.0,0,0,1.7240384615384616,2.6267441860465115,4.141025641025641,1.2285714285714284,0
94.0,408,0,0,0.0,157.9,105.0,155.0,101.0,189.6,84.0,8.0,5.0,4,1,1.503809523809524,1.5346534653465347,2.257142857142857,1.6,1
111.0,510,0,0,0.0,214.3,118.0,208.5,76.0,182.4,98.0,12.0,2.0,1,0,1.8161016949152544,2.7434210526315788,1.8612244897959185,6.0,0
74.0,415,0,1,35.0,154.1,104.0,123.4,84.0,202.1,57.0,10.9,9.0,2,0,1.481730769230769,1.4690476190476192,3.545614035087719,1.2111111111111112,0
128.0,415,0,0,0.0,237.9,125.0,247.6,93.0,208.9,68.0,13.9,4.0,1,1,1.9032,2.6623655913978492,3.072058823529412,3.475,0
82.0,510,0,0,0.0,143.9,61.0,194.9,105.0,109.6,94.0,11.1,2.0,1,0,2.359016393442623,1.8561904761904762,1.1659574468085105,5.55,0
155.0,415,0,0,0.0,203.4,100.0,190.9,104.0,196.0,119.0,8.9,4.0,0,1,2.0340000000000003,1.8355769230769232,1.6470588235294117,2.225,0
80.0,415,0,0,0.0,124.3,100.0,173.0,107.0,253.2,62.0,7.9,9.0,1,0,1.2429999999999999,1.6168224299065421,4.083870967741936,0.8777777777777778,0
78.0,415,0,0,0.0,252.9,93.0,178.4,112.0,263.9,105.0,9.5,7.0,3,0,2.7193548387096773,1.592857142857143,2.513333333333333,1.3571428571428572,1
90.0,415,0,0,0.0,179.1,71.0,190.6,81.0,127.7,91.0,10.6,7.0,3,0,2.5225352112676056,2.3530864197530863,1.4032967032967034,1.5142857142857142,1
104.0,408,0,0,0.0,278.4,106.0,81.0,113.0,163.2,137.0,9.8,5.0,1,0,2.6264150943396225,0.7168141592920354,1.1912408759124087,1.9600000000000002,0
73.0,415,0,0,0.0,160.1,110.0,213.3,72.0,174.1,72.0,13.0,4.0,0,0,1.4554545454545453,2.9625000000000004,2.4180555555555556,3.25,0
99.0,415,0,0,0.0,198.2,87.0,207.3,76.0,190.9,113.0,8.7,3.0,4,0,2.27816091954023,2.7276315789473684,1.6893805309734513,2.9,1
120.0,408,0,0,0.0,212.1,131.0,209.4,104.0,167.2,96.0,5.3,5.0,1,1,1.619083969465649,2.0134615384615384,1.7416666666666665,1.06,0
77.0,415,0,0,0.0,251.8,72.0,205.7,126.0,275.2,109.0,9.8,7.0,2,1,3.4972222222222222,1.6325396825396825,2.5247706422018346,1.4000000000000001,0
98.0,510,0,1,21.0,161.2,114.0,252.2,83.0,160.2,92.0,4.4,8.0,4,0,1.4140350877192982,3.0385542168674697,1.7413043478260868,0.55,1
108.0,415,0,0,0.0,178.3,137.0,189.0,76.0,129.1,102.0,14.6,5.0,0,0,1.3014598540145985,2.486842105263158,1.2656862745098039,2.92,0
135.0,415,0,0,0.0,151.7,82.0,119.0,105.0,180.0,100.0,10.5,6.0,0,0,1.8499999999999999,1.1333333333333333,1.8,1.75,0
95.0,408,0,0,0.0,135.0,99.0,183.6,106.0,245.3,102.0,12.5,9.0,1,0,1.3636363636363635,1.732075471698113,2.4049019607843136,1.3888888888888888,0
122.0,408,0,0,0.0,170.5,94.0,173.7,109.0,248.6,75.0,11.3,2.0,1,0,1.8138297872340425,1.593577981651376,3.3146666666666667,5.65,0
95.0,408,0,0,0.0,238.1,65.0,187.2,98.0,190.0,115.0,11.8,4.0,4,0,3.663076923076923,1.9102040816326529,1.6521739130434783,2.95,1
36.0,510,0,1,29.0,281.4,102.0,202.2,76.0,187.2,113.0,9.0,6.0,2,0,2.7588235294117647,2.6605263157894736,1.6566371681415928,1.5,0
93.0,510,0,1,21.0,117.9,131.0,164.5,115.0,217.0,86.0,9.8,3.0,1,0,0.9,1.4304347826086956,2.5232558139534884,3.266666666666667,0
141.0,415,0,1,32.0,148.6,91.0,131.1,97.0,219.4,142.0,10.1,1.0,1,0,1.632967032967033,1.3515463917525772,1.5450704225352112,10.1,0
157.0,408,0,0,0.0,229.8,90.0,147.9,121.0,241.4,108.0,9.6,7.0,3,0,2.5533333333333337,1.2223140495867768,2.2351851851851854,1.3714285714285714,1
120.0,408,0,0,0.0,165.0,100.0,317.2,83.0,119.2,86.0,8.3,8.0,1,0,1.65,3.8216867469879516,1.386046511627907,1.0375,0
103.0,415,0,0,0.0,185.0,117.0,223.3,94.0,222.8,91.0,12.6,2.0,2,0,1.5811965811965811,2.375531914893617,2.4483516483516485,6.3,0
98.0,408,0,0,0.0,161.0,117.0,190.9,113.0,227.7,113.0,12.1,4.0,4,0,1.376068376068376,1.6893805309734513,2.0150442477876105,3.025,1
125.0,408,0,0,0.0,126.7,108.0,206.0,90.0,247.8,114.0,13.3,7.0,1,0,1.1731481481481483,2.2888888888888888,2.173684210526316,1.9000000000000001,0
63.0,415,0,0,0.0,58.9,125.0,169.6,59.0,211.4,88.0,9.4,3.0,1,0,0.4712,2.8745762711864407,2.4022727272727273,3.1333333333333333,0
36.0,510,1,1,42.0,196.8,89.0,254.9,122.0,138.3,126.0,17.5,6.0,0,1,2.2112359550561798,2.089344262295082,1.0976190476190477,2.9166666666666665,0
64.0,510,0,0,0.0,162.6,83.0,152.3,109.0,64.54999999999998,122.0,14.2,3.0,1,0,1.959036144578313,1.3972477064220183,0.5290983606557376,4.733333333333333,0
74.0,415,0,0,0.0,282.5,114.0,219.9,48.0,170.0,115.0,9.4,4.0,1,1,2.4780701754385963,4.58125,1.4782608695652173,2.35,0
112.0,510,0,1,36.0,113.7,117.0,157.5,82.0,177.6,118.0,10.0,3.0,2,0,0.9717948717948718,1.920731707317073,1.505084745762712,3.3333333333333335,0
97.0,408,0,0,0.0,239.8,125.0,214.8,111.0,143.3,81.0,8.7,5.0,2,0,1.9184,1.9351351351351351,1.769135802469136,1.7399999999999998,0
46.0,408,0,0,0.0,210.2,92.0,227.3,77.0,200.1,116.0,13.1,7.0,1,0,2.284782608695652,2.951948051948052,1.7249999999999999,1.8714285714285714,0
41.0,408,0,1,22.0,213.8,102.0,141.8,86.0,142.2,123.0,7.2,3.0,0,0,2.096078431372549,1.6488372093023258,1.1560975609756097,2.4,0
121.0,510,0,0,0.0,190.7,103.0,183.5,117.0,220.8,103.0,9.8,4.0,3,0,1.8514563106796116,1.5683760683760684,2.14368932038835,2.45,1
193.0,415,0,0,0.0,170.9,124.0,132.3,95.0,112.9,89.0,11.6,3.0,1,0,1.3782258064516129,1.3926315789473684,1.2685393258426967,3.8666666666666667,0
130.0,510,0,0,0.0,154.2,119.0,110.2,98.0,227.4,117.0,9.2,5.0,2,0,1.295798319327731,1.1244897959183673,1.9435897435897436,1.8399999999999999,0
85.0,408,0,0,0.0,201.4,52.0,229.4,104.0,252.5,106.0,12.0,3.0,1,0,3.873076923076923,2.205769230769231,2.3820754716981134,4.0,0
162.0,415,0,0,0.0,70.7,108.0,157.5,87.0,154.8,82.0,9.1,3.0,4,1,0.6546296296296297,1.8103448275862069,1.8878048780487806,3.033333333333333,1
61.0,510,0,1,27.0,187.5,124.0,146.6,103.0,225.7,129.0,6.4,6.0,4,1,1.5120967741935485,1.4233009708737863,1.7496124031007751,1.0666666666666667,1
92.0,408,0,0,0.0,91.7,90.0,193.7,123.0,175.0,86.0,9.2,4.0,2,0,1.018888888888889,1.5747967479674796,2.0348837209302326,2.3,0
131.0,408,0,1,36.0,214.2,115.0,161.7,117.0,264.7,102.0,9.5,4.0,3,0,1.862608695652174,1.382051282051282,2.5950980392156864,2.375,1
90.0,415,0,0,0.0,145.5,92.0,217.7,114.0,146.9,123.0,10.9,2.0,3,0,1.5815217391304348,1.9096491228070174,1.194308943089431,5.45,1
75.0,408,0,0,0.0,166.3,125.0,158.2,86.0,256.7,80.0,6.1,5.0,1,0,1.3304,1.83953488372093,3.2087499999999998,1.22,0
78.0,415,0,0,0.0,231.0,115.0,230.4,140.0,261.4,120.0,9.5,3.0,1,0,2.008695652173913,1.6457142857142857,2.1783333333333332,3.1666666666666665,0
82.0,408,0,0,0.0,200.3,96.0,201.2,102.0,206.1,60.0,7.1,1.0,4,0,2.0864583333333333,1.972549019607843,3.435,7.1,1
163.0,408,0,0,0.0,197.0,109.0,202.6,128.0,206.4,80.0,9.1,10.0,1,0,1.8073394495412844,1.5828125,2.58,0.9099999999999999,0
91.0,510,1,0,0.0,129.9,112.0,173.3,83.0,247.2,130.0,11.2,3.0,3,0,1.1598214285714286,2.0879518072289156,1.9015384615384614,3.733333333333333,1
75.0,415,0,1,21.0,175.8,97.0,217.5,106.0,237.5,134.0,5.3,4.0,4,0,1.8123711340206188,2.05188679245283,1.7723880597014925,1.325,1
91.0,510,0,0,0.0,203.1,106.0,210.1,113.0,195.6,129.0,12.0,3.0,3,0,1.9160377358490566,1.85929203539823,1.5162790697674418,4.0,1
127.0,510,0,1,36.0,183.2,117.0,126.8,76.0,263.3,71.0,11.2,8.0,1,0,1.5658119658119658,1.6684210526315788,3.7084507042253523,1.4,0
113.0,415,0,1,23.0,205.0,101.0,152.0,60.0,158.6,59.0,10.2,5.0,2,0,2.0297029702970297,2.533333333333333,2.688135593220339,2.04,0
110.0,510,0,0,0.0,148.5,115.0,276.4,84.0,193.6,112.0,12.4,3.0,1,0,1.291304347826087,3.2904761904761903,1.7285714285714284,4.133333333333334,0
120.0,415,0,1,39.0,200.3,68.0,220.4,97.0,253.8,116.0,10.5,4.0,0,0,2.945588235294118,2.272164948453608,2.1879310344827587,2.625,0
157.0,415,0,1,28.0,192.6,107.0,195.5,74.0,109.7,139.0,6.8,5.0,3,0,1.8,2.641891891891892,0.7892086330935252,1.3599999999999999,1
103.0,510,0,0,0.0,246.5,47.0,195.5,84.0,200.5,96.0,11.7,4.0,1,0,5.24468085106383,2.3273809523809526,2.0885416666666665,2.925,0
117.0,408,1,0,0.0,167.1,86.0,177.5,87.0,249.4,132.0,14.1,7.0,2,1,1.9430232558139535,2.0402298850574714,1.8893939393939394,2.0142857142857142,0
140.0,415,0,0,0.0,231.9,101.0,160.1,94.0,110.4,98.0,14.3,6.0,3,0,2.2960396039603963,1.7031914893617022,1.126530612244898,2.3833333333333333,1
127.0,408,0,0,0.0,146.7,91.0,203.5,78.0,203.4,110.0,13.7,3.0,1,0,1.612087912087912,2.608974358974359,1.8490909090909091,4.566666666666666,0
83.0,408,1,0,0.0,271.5,87.0,216.3,126.0,121.1,105.0,11.7,4.0,1,0,3.1206896551724137,1.7166666666666668,1.1533333333333333,2.925,0
121.0,408,0,0,0.0,181.5,121.0,218.4,98.0,161.6,103.0,8.5,5.0,1,0,1.5,2.2285714285714286,1.5689320388349515,1.7,0
145.0,408,0,1,43.0,257.7,97.0,162.1,95.0,286.9,86.0,11.1,4.0,2,0,2.656701030927835,1.7063157894736842,3.3360465116279068,2.775,0
113.0,408,0,0,0.0,193.8,99.0,221.4,125.0,172.3,67.0,10.6,6.0,1,0,1.9575757575757577,1.7712,2.5716417910447764,1.7666666666666666,0
117.0,415,0,0,0.0,102.8,119.0,206.7,91.0,299.0,105.0,10.1,7.0,1,0,0.8638655462184873,2.2714285714285714,2.8476190476190477,1.4428571428571428,0
65.0,408,0,0,0.0,187.9,116.0,157.6,117.0,227.3,86.0,7.5,6.0,1,0,1.6198275862068967,1.3470085470085469,2.6430232558139535,1.25,0
56.0,415,0,0,0.0,226.0,112.0,248.5,118.0,140.5,142.0,6.9,10.5,1,0,2.017857142857143,2.1059322033898304,0.9894366197183099,0.6571428571428571,0
96.0,415,0,0,0.0,260.4,115.0,146.0,46.5,269.5,87.0,11.5,4.0,4,0,2.2643478260869565,3.139784946236559,3.0977011494252875,2.875,1
151.0,408,0,0,0.0,178.7,116.0,292.1,138.0,265.9,101.0,9.8,4.0,0,0,1.5405172413793102,2.1166666666666667,2.6326732673267323,2.45,0
83.0,415,0,0,0.0,325.45000000000005,120.0,227.4,116.0,153.9,114.0,15.8,7.0,0,1,2.7120833333333336,1.960344827586207,1.35,2.257142857142857,0
139.0,510,0,1,23.0,157.6,129.0,247.0,96.0,259.2,112.0,13.7,2.0,0,0,1.2217054263565892,2.5729166666666665,2.314285714285714,6.85,0
6.0,510,0,0,0.0,183.6,117.0,256.7,72.0,178.6,79.0,10.2,2.0,1,0,1.5692307692307692,3.5652777777777778,2.260759493670886,5.1,0
115.0,510,0,1,24.0,142.1,124.0,183.4,129.0,164.8,114.0,9.6,4.0,1,0,1.145967741935484,1.4217054263565891,1.4456140350877194,2.4,0
87.0,415,0,0,0.0,136.3,97.0,172.2,108.0,137.5,101.0,7.1,5.0,0,0,1.4051546391752578,1.5944444444444443,1.3613861386138615,1.42,0
141.0,415,0,0,0.0,217.1,110.0,241.5,111.0,253.5,103.0,12.0,6.0,0,0,1.9736363636363636,2.175675675675676,2.4611650485436893,2.0,0
141.0,510,0,1,36.0,187.5,99.0,241.4,116.0,229.5,105.0,10.5,5.0,3,0,1.893939393939394,2.081034482758621,2.1857142857142855,2.1,1
62.0,415,0,0,0.0,98.9,103.0,135.4,122.0,236.6,82.0,12.2,1.0,1,0,0.9601941747572816,1.1098360655737705,2.8853658536585365,12.2,0
